restaurant_id,name,resto_TA_url,nb_reviews,min_price,max_price,cuisine,address,phone_number,website,menu,ranking,rating
-5,Aviary,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11908107-Reviews-Aviary-London_England.html,465,2.0,3.0,"['European', 'British', 'Vegetarian Friendly']","Royal London House 22-29 Finsbury Square Montcalm Royal London House, London EC2A 1DX England",+44 20 3873 4060,Website not scraped,Menu not scraped,"#1,570 of 16,979 Restaurants in London",4.0
-11,The Culpeper,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6893599-Reviews-The_Culpeper-London_England.html,466,2.0,3.0,"['Bar', 'European', 'British']","40 Commercial Street, London E1 6LP England",+44 20 7247 5371,Website not scraped,Menu not scraped,Ranking not found,4.0
-9,Seabird,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d18850403-Reviews-Seabird-London_England.html,101,4.0,4.0,"['Seafood', 'Mediterranean', 'Gluten Free Options']","40 Blackfriars Road The Rooftop, The Hoxton, London SE1 8NY England",+44 20 7903 3050,Website not scraped,Menu not scraped,Ranking not found,4.0
-8,Boundary Rooftop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11638827-Reviews-Boundary_Rooftop-London_England.html,307,2.0,3.0,"['Seafood', 'Mediterranean', 'European']","2-4 Boundary Street Entrance on Redchurch Street, London E2 7DD England",+44 20 7729 1051,Website not scraped,Menu not scraped,Ranking not found,3.5
-10,Queen of Hoxton,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1391383-Reviews-Queen_of_Hoxton-London_England.html,271,2.0,3.0,['Bar'],"1 Curtain Road Hoxton, London EC2A 3JX England",+44 20 3889 8731,Website not scraped,Menu not scraped,Ranking not found,3.5
-4,Pergola on the Roof,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12900577-Reviews-Pergola_on_the_Roof-London_England.html,95,2.0,3.0,"['Quick Bites', 'Bar']","5 Kingdom Street, London W2 6PY England",,Website not scraped,Menu not scraped,Ranking not found,3.0
-17,The Nest in Treehouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d19425651-Reviews-The_Nest_in_Treehouse-London_England.html,20,2.0,3.0,['Bar'],"14-15 Langham Place Floor 16, London W1B 2QS England",+44 20 3988 4271,Website not scraped,Menu not scraped,Ranking not found,4.0
-3,Forza Win,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10500858-Reviews-Forza_Win-London_England.html,61,2.0,3.0,"['Italian', 'Mediterranean', 'European']","Industrial Park 133 Copeland Road Unit 4.1 Copeland Park, London SE15 3SN England",+44 20 7732 9012,Website not scraped,Menu not scraped,Ranking not found,4.0
-1,Bokan 37 Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,597,2.0,3.0,"['European', 'British', 'Vegetarian Friendly']","Floor 37-39, 40 Marsh Wall, London E14 9TP England",+44 20 3530 0550,Website not scraped,Menu not scraped,"#772 of 16,979 Restaurants in London",4.5
-2,Savage Garden,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15043073-Reviews-Savage_Garden-London_England.html,203,2.0,3.0,"['Bar', 'European']","7 Pepys Street 2th Floor, Hilton DoubleTree Tower of London, London EC3N 4AF England",+44 20 7709 1043,Website not scraped,Menu not scraped,Ranking not found,4.0
-16,Allegra,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d18719167-Reviews-Allegra-London_England.html,43,4.0,4.0,"['European', 'British']","20 International Way International Way / Penny Brookes Street, London E20 1FD England",+44 20 3973 0545,Website not scraped,Menu not scraped,Ranking not found,4.5
-15,Golden Bee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5220272-Reviews-Golden_Bee-London_England.html,212,2.0,3.0,[],"Singer St, London EC1V 9DD England",+44 20 7253 1110,Website not scraped,Menu not scraped,Ranking not found,3.5
-14,Art Yard Bar & Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15348913-Reviews-Art_Yard_Bar_Kitchen-London_England.html,21,2.0,3.0,['European'],"2 Blackfriars Road Bankside Hotel, London SE1 9JU England",+44 20 3943 2020,Website not scraped,Menu not scraped,Ranking not found,4.0
-7,FEST Camden,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d16385768-Reviews-FEST_Camden-London_England.html,45,2.0,3.0,"['Bar', 'British', 'Pub']","Unit 587 The Stables Market Chalk Farm Road The Horse Hospital Stables Market, London NW1 8AH England",+44 20 7428 4922,Website not scraped,Menu not scraped,Ranking not found,3.5
-13,The Rooftop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2179907-Reviews-The_Rooftop-London_England.html,233,2.0,3.0,"['Sushi', 'Korean', 'Fusion']","2 Spring Gardens The Trafalgar St. James, London SW1A 2TS England",+44 20 7870 2900,Website not scraped,Menu not scraped,Ranking not found,3.5
-12,SUSHISAMBA Heron Tower,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4295544-Reviews-SUSHISAMBA_Heron_Tower-London_England.html,"5,411",4.0,4.0,"['Japanese', 'Sushi', 'Asian']","110 Bishopsgate Heron Tower, London EC2N 4AY England",+44 20 3640 7330,Website not scraped,Menu not scraped,"#1,648 of 16,979 Restaurants in London",4.0
-6,Radio Rooftop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8366506-Reviews-Radio_Rooftop-London_England.html,"2,036",2.0,3.0,"['Bar', 'International', 'European']","336-337 Strand ME Hotel, London WC2R 1HA England",+44 20 7379 6606,Website not scraped,Menu not scraped,Ranking not found,3.5
10216,Roof Top Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7226277-Reviews-Roof_Top_Kitchen-London_England.html,46,2.0,3.0,"['Cafe', 'British', 'Vegetarian Friendly']","13-25 Church Street Alfies Antique Market, London NW8 8DT England",+44 20 7258 3300,Website not scraped,Menu not scraped,Ranking not found,4.5
13639,The Prince of Wales,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1867074-Reviews-The_Prince_of_Wales-London_England.html,169,2.0,3.0,"['Bar', 'British', 'Pub']","92 Wilton Road at Longmoore St. Pimlico, London SW1V 1DW England",+44 20 7233 8898,Website not scraped,Menu not scraped,Ranking not found,4.0
12755,Skylark Roof Garden,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d17752743-Reviews-Skylark_Roof_Garden-London_England.html,10,2.0,3.0,['British'],"10th Floor 4 Kingdom Street Paddington, London W2 6BD England",+44 20 7846 1985,Website not scraped,Menu not scraped,Ranking not found,4.0
14787,Madison,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2218703-Reviews-Madison-London_England.html,"2,235",2.0,3.0,"['Steakhouse', 'Bar', 'European']","One New Change Rooftop Terrace, St Paulâ€™s, London EC4M 9AF England",+44 20 3693 5160,Website not scraped,Menu not scraped,Ranking not found,4.0
14657,Coq d'Argent,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d784899-Reviews-Coq_d_Argent-London_England.html,"1,688",4.0,4.0,"['French', 'European', 'Vegetarian Friendly']","No 1 Poultry, London EC2R 8EJ England",+44 20 7395 5000,Website not scraped,Menu not scraped,"#1,390 of 16,979 Restaurants in London",4.0
10068,Alto by San Carlo,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14085826-Reviews-Alto_by_San_Carlo-London_England.html,510,2.0,3.0,"['Italian', 'Mediterranean', 'European']","400 Oxford Street The Rooftop, London W1A 1AB England",+44 20 7318 3287,Website not scraped,Menu not scraped,"#2,595 of 16,979 Restaurants in London",4.0
13460,12th Knot,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7340987-Reviews-12th_Knot-London_England.html,711,4.0,4.0,"['American', 'Bar', 'European']","20 Upper Ground Mondrian London, London SE1 9PD England",+44 20 3747 1063,Website not scraped,Menu not scraped,"#1,686 of 16,979 Restaurants in London",4.0
13836,John Lewis Roof Garden (The Gardening Society),https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13272882-Reviews-John_Lewis_Roof_Garden_The_Gardening_Society-London_England.html,93,2.0,3.0,['Street Food'],"300 Oxford Street, London W1C 1DX England",+44 20 7629 7711,Website not scraped,Menu not scraped,Ranking not found,4.0
12125,Angler,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3534237-Reviews-Angler-London_England.html,"1,120",4.0,4.0,"['Seafood', 'European', 'British']","3 South Place South Place Hotel, London EC2M 2AF England",+44 20 3215 1260,Website not scraped,Menu not scraped,"#232 of 16,979 Restaurants in London",4.5
9796,Aqua Nueva,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2188446-Reviews-Aqua_Nueva-London_England.html,604,4.0,4.0,"['Mediterranean', 'European', 'Spanish']","240 Regent Street Fifth Floor, London W1B 2EL England",+44 20 7478 0540,Website not scraped,Menu not scraped,"#1,719 of 16,979 Restaurants in London",4.0
11264,"Oxo Tower Restaurant, Bar and Brasserie",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d680501-Reviews-Oxo_Tower_Restaurant_Bar_and_Brasserie-London_England.html,"9,437",4.0,4.0,"['British', 'Vegetarian Friendly', 'Vegan Options']","Barge House Street OXO Tower Wharf, London SE1 9PH England",+44 20 7803 3888,Website not scraped,Menu not scraped,"#799 of 16,979 Restaurants in London",4.5
